sample_id,replicate,334_373,334_384,600,ratio
B5,1,173266.0,220970.0,0.0406,0.784115490790605
B6,1,156219.0,189168.0,0.0411,0.8258214920071048
B7,1,159422.0,187173.0,0.0419,0.851736094415327
B8,1,182093.0,211885.0,0.0411,0.8593954267645185
C1,1,147976.0,182383.0,0.0399,0.81134754883953
C2,1,161898.0,206407.0,0.0394,0.7843629334276454
C3,1,199565.0,293260.0,0.0399,0.6805053536111301
C4,1,228779.0,338008.0,0.0407,0.6768449267472959
C5,1,230430.0,336944.0,0.0412,0.6838821881380882
C6,1,258307.0,382034.0,0.039,0.6761361554207217
C7,1,246965.0,368517.0,0.0403,0.6701590428664078
C8,1,212813.0,310753.0,0.0404,0.6848300740459464
B5,2,156491.0,205396.0,0.0406,0.7618989659000175
B6,2,138629.0,174451.0,0.0411,0.7946586720626422
B7,2,139722.0,171364.0,0.0417,0.8153521159636796
B8,2,161939.0,196894.0,0.0413,0.8224679269048321
C1,2,135189.0,166931.0,0.0398,0.8098495785683906
C2,2,147617.0,189765.0,0.0395,0.77789371064211
C3,2,182291.0,270808.0,0.0399,0.6731374257776728
C4,2,213952.0,319163.0,0.0409,0.670353393093811
C5,2,215979.0,320995.0,0.0412,0.6728422561099082
C6,2,245682.0,367609.0,0.0388,0.6683242249237641
C7,2,238885.0,355774.0,0.0405,0.671451539460444
C8,2,205952.0,308340.0,0.0405,0.6679379905299345
B5,3,152007.0,196894.0,0.0403,0.7720245411236503
B6,3,132092.0,166854.0,0.041,0.7916621717189879
B7,3,133678.0,166408.0,0.0417,0.8033147444834383
B8,3,153600.0,188041.0,0.0413,0.8168431352736903
C1,3,131734.0,163228.0,0.0398,0.8070551621045409
C2,3,143227.0,181622.0,0.0394,0.7885993987512526
C3,3,177797.0,259994.0,0.0398,0.6838503965476126
C4,3,208004.0,311621.0,0.0406,0.667490316762991
C5,3,210082.0,312271.0,0.0411,0.6727553951535685
C6,3,240352.0,359472.0,0.039,0.6686250945831664
C7,3,233934.0,349536.0,0.0405,0.6692701180994233
C8,3,206349.0,306487.0,0.0404,0.6732716232662397
