sample_id,replicate,334_373,334_384,600,ratio
D1,1,128292.0,159555.0,0.0412,0.8040612954780483
D2,1,155640.0,190200.0,0.0404,0.8182965299684543
D3,1,170828.0,202471.0,0.041,0.8437158901768649
D4,1,171489.0,208490.0,0.0413,0.8225286584488465
D5,1,213253.0,290025.0,0.0402,0.7352917851909319
D6,1,240920.0,339116.0,0.0388,0.7104353672489649
D7,1,245012.0,348949.0,0.0393,0.7021427199963318
D8,1,232721.0,337573.0,0.0396,0.6893945902071552
E1,1,223062.0,327488.0,0.0394,0.6811303009575923
E2,1,224771.0,327683.0,0.041,0.6859403753017398
E3,1,212936.0,315894.0,0.0392,0.674074214768245
E4,1,191924.0,281073.0,0.0393,0.6828261697139177
D1,2,122882.0,143640.0,0.041,0.8554859370648844
D2,2,137204.0,167527.0,0.0402,0.8189963408883344
D3,2,149819.0,184022.0,0.0413,0.81413635326211
D4,2,154668.0,193424.0,0.0411,0.7996318967656547
D5,2,197645.0,274246.0,0.0402,0.7206850783603043
D6,2,225485.0,319137.0,0.0388,0.7065460914904884
D7,2,229949.0,332642.0,0.0393,0.69128071620541
D8,2,225231.0,325944.0,0.0397,0.6910113393711803
E1,2,215781.0,317615.0,0.0394,0.6793791225225508
E2,2,216534.0,319258.0,0.0409,0.6782414222979534
E3,2,205221.0,305539.0,0.0392,0.6716687558707727
E4,2,185818.0,279226.0,0.0392,0.6654752780901492
D1,3,115297.0,138018.0,0.0411,0.8353765450883218
D2,3,131949.0,161244.0,0.0406,0.8183188211654387
D3,3,142907.0,178607.0,0.0411,0.8001198161326264
D4,3,145381.0,185463.0,0.0412,0.7838814210920777
D5,3,186673.0,263758.0,0.0403,0.7077434618096892
D6,3,218085.0,309350.0,0.0388,0.7049781800549539
D7,3,224100.0,324527.0,0.0391,0.6905434678778654
D8,3,219855.0,321622.0,0.0395,0.6835819688951627
E1,3,212210.0,314013.0,0.0394,0.6758000464948903
E2,3,212284.0,314016.0,0.0409,0.6760292469173546
E3,3,202256.0,300692.0,0.0392,0.6726351216527211
E4,3,185188.0,276513.0,0.0393,0.669726197321645
