concentration,surfactant volume,water volume,probe volume,total volume
0.158,31.090612709583933,943.909387290416,25,1000.0
0.216,42.50362243841854,932.4963775615814,25,1000.0
0.294,57.852152763403005,917.147847236597,25,1000.0
0.402,79.10396398261229,895.8960360173877,25,1000.0
0.548,107.83326433450631,867.1667356654937,25,1000.0
0.748,147.18847029600494,827.8115297039951,25,1000.0
1.021,200.90832643345058,774.0916735665494,25,1000.0
1.393,274.10900952183806,700.8909904781619,25,1000.0
1.901,374.0712326640446,600.9287673359554,25,1000.0
2.594,510.4370213206375,464.5629786793625,25,1000.0
3.54,696.5871455185261,278.4128544814739,25,1000.0
4.831,950.6249999999999,24.375000000000114,25,1000.0
