concentration,surfactant volume,water volume,probe volume,total volume
0.159,31.145554296311563,943.8544457036884,25,1000.0
0.217,42.50682567484031,932.4931743251597,25,1000.0
0.296,57.9816608283536,917.0183391716464,25,1000.0
0.404,79.13713167113127,895.8628683288687,25,1000.0
0.551,107.93207809602309,867.0679219039769,25,1000.0
0.752,147.30475994230375,827.6952400576963,25,1000.0
1.026,200.97697300638782,774.0230269936121,25,1000.0
1.4,274.23758499896974,700.7624150010303,25,1000.0
1.91,374.1384195343087,600.8615804656913,25,1000.0
2.606,510.47367607665365,464.52632392334635,25,1000.0
3.556,696.5634658973831,278.43653410261686,25,1000.0
4.853,950.6250000000001,24.374999999999886,25,1000.0
