concentration,surfactant volume,water volume,probe volume,total volume
2.138,45.396266556476284,929.6037334435238,25,1000.0
2.819,59.855975408188336,915.1440245918117,25,1000.0
3.717,78.9232566840142,896.0767433159858,25,1000.0
4.901,104.06319101650621,870.9368089834938,25,1000.0
6.462,137.20798619642179,837.7920138035782,25,1000.0
8.52,180.90560854124323,794.0943914587567,25,1000.0
11.234,238.53211342163453,736.4678865783654,25,1000.0
14.813,314.5252088405441,660.4747911594559,25,1000.0
19.531,414.7027512228898,560.2972487771102,25,1000.0
25.752,546.7935717317014,428.2064282682986,25,1000.0
33.955,720.9683025842621,254.03169741573788,25,1000.0
44.771,950.625,24.375,25,1000.0
