sample_id,replicate,334_373,334_384,600,ratio
B5,1,137958.0,171762.0,0.0406,0.8031927900234045
B6,1,145271.0,178146.0,0.0413,0.8154603527443782
B7,1,139631.0,170858.0,0.0401,0.8172341944772852
B8,1,151568.0,182785.0,0.0411,0.829214651092814
C1,1,133721.0,164741.0,0.0397,0.8117044330191027
C2,1,130431.0,161209.0,0.0394,0.8090801382056833
C3,1,156094.0,209210.0,0.0393,0.7461115625448115
C4,1,170255.0,240381.0,0.0386,0.7082714524026441
C5,1,169447.0,240989.0,0.0405,0.7031316782093788
C6,1,162996.0,230837.0,0.04,0.7061086394295542
C7,1,152728.0,221472.0,0.0386,0.6896041034532582
C8,1,134371.0,192845.0,0.0402,0.6967823900023334
B5,2,124267.0,157331.0,0.0403,0.7898443409118355
B6,2,128429.0,160192.0,0.0407,0.8017191869756293
B7,2,124631.0,155331.0,0.0402,0.802357546143397
B8,2,132397.0,161595.0,0.0414,0.8193137163897398
C1,2,123447.0,152269.0,0.0394,0.8107165608232798
C2,2,121411.0,149163.0,0.0395,0.8139484992927201
C3,2,146247.0,198208.0,0.0392,0.7378461010655473
C4,2,163489.0,234710.0,0.0384,0.6965574538792553
C5,2,161014.0,231408.0,0.0403,0.695801355182189
C6,2,153034.0,223249.0,0.0401,0.6854857132618735
C7,2,147740.0,214605.0,0.0385,0.6884275762447287
C8,2,129564.0,187060.0,0.0413,0.6926333796642788
B5,3,118564.0,151745.0,0.04,0.7813371116017003
B6,3,122605.0,153287.0,0.0406,0.7998395167235317
B7,3,120076.0,149805.0,0.0401,0.8015486799506024
B8,3,126248.0,155864.0,0.0413,0.8099881948365242
C1,3,120692.0,147598.0,0.0395,0.8177075570129676
C2,3,118299.0,145855.0,0.0393,0.8110726406362483
C3,3,144343.0,193577.0,0.039,0.7456619329775748
C4,3,162393.0,232043.0,0.0381,0.6998401158405985
C5,3,160719.0,232024.0,0.0402,0.6926826535186015
C6,3,151944.0,220546.0,0.0399,0.6889447099471312
C7,3,147506.0,212358.0,0.0386,0.6946100453008599
C8,3,130511.0,186847.0,0.0417,0.698491278960861
