sample_id,replicate,334_373,334_384,600,ratio
A1,1,147468.0,184463.0,0.043,0.7994448751240086
A2,1,146326.0,182074.0,0.0397,0.803662247218164
A3,1,153047.0,188695.0,0.0395,0.8110813747052121
A4,1,147486.0,185806.0,0.041,0.793763387619345
A5,1,148120.0,185598.0,0.0391,0.7980689447084559
A6,1,156581.0,205731.0,0.041,0.7610957998551506
A7,1,176559.0,240387.0,0.0397,0.7344781539767126
A8,1,170490.0,236137.0,0.0405,0.7219961293655801
B1,1,171665.0,244490.0,0.0557,0.7021350566485337
B2,1,160512.0,231374.0,0.0404,0.6937339545497766
B3,1,156450.0,226572.0,0.039,0.6905089772787458
B4,1,135484.0,193275.0,0.0406,0.7009908161945415
A1,2,136161.0,170289.0,0.043,0.7995877596321548
A2,2,137587.0,169976.0,0.0401,0.8094495693509672
A3,2,143490.0,179781.0,0.0396,0.7981377342433293
A4,2,138984.0,176078.0,0.0413,0.7893320005906473
A5,2,139442.0,176700.0,0.0391,0.7891454442558008
A6,2,148147.0,199364.0,0.0409,0.7430980518047391
A7,2,164644.0,232786.0,0.0398,0.7072762107686889
A8,2,158524.0,229432.0,0.0404,0.6909411067331497
B1,2,164329.0,238506.0,0.0575,0.6889931490193119
B2,2,155333.0,227494.0,0.0404,0.6828004255057276
B3,2,150807.0,220695.0,0.0388,0.6833276694080065
B4,2,131475.0,190007.0,0.0402,0.6919481913824228
A1,3,130522.0,164523.0,0.043,0.7933358861678914
A2,3,131986.0,165305.0,0.0397,0.798439248661565
A3,3,139129.0,174310.0,0.0395,0.7981699271413
A4,3,133355.0,169414.0,0.041,0.7871545444886491
A5,3,135654.0,173172.0,0.0389,0.7833483473078788
A6,3,144747.0,195326.0,0.0412,0.741053418387721
A7,3,163005.0,229182.0,0.0397,0.7112469565672697
A8,3,157933.0,225782.0,0.0402,0.6994933165619934
B1,3,164591.0,236018.0,0.06,0.697366302570143
B2,3,154913.0,223861.0,0.0405,0.6920053068645275
B3,3,150274.0,218839.0,0.039,0.6866874734393779
B4,3,131191.0,187695.0,0.0403,0.6989584165800901
