sample_id,replicate,334_373,334_384,600,ratio
D1,1,125170.0,156451.0,0.0403,0.800058804354079
D2,1,121259.0,152362.0,0.0401,0.7958611727333587
D3,1,203065.0,295911.0,0.0417,0.6862367401009087
D4,1,211136.0,312280.0,0.0406,0.6761111822723197
D5,1,218212.0,324144.0,0.0402,0.6731946295473616
D6,1,218891.0,324326.0,0.0398,0.6749104296294469
D7,1,213791.0,316772.0,0.0395,0.6749049789754145
D8,1,225900.0,336684.0,0.0395,0.6709555547635171
E1,1,209187.0,313217.0,0.0412,0.6678660481391495
E2,1,210350.0,317848.0,0.0424,0.6617943167803478
E3,1,204844.0,304451.0,0.0392,0.6728307675126703
E4,1,154554.0,226263.0,0.0397,0.6830723538537012
D1,2,113829.0,138957.0,0.0401,0.8191670804637405
D2,2,109203.0,137772.0,0.0402,0.7926356589147286
D3,2,189652.0,276008.0,0.0415,0.6871250108692502
D4,2,201316.0,299095.0,0.0406,0.6730838028051288
D5,2,205642.0,309494.0,0.0403,0.6644458373991096
D6,2,208070.0,310408.0,0.0395,0.6703113321821602
D7,2,202299.0,302457.0,0.0397,0.6688521012904314
D8,2,213678.0,319202.0,0.0398,0.6694130989154203
E1,2,200612.0,302895.0,0.0413,0.6623153237920731
E2,2,203507.0,306521.0,0.0422,0.6639251470535461
E3,2,195272.0,289504.0,0.0392,0.6745053608931137
E4,2,150008.0,224102.0,0.0396,0.6693737673023891
D1,3,110460.0,136336.0,0.0402,0.810204201384814
D2,3,105976.0,134169.0,0.0403,0.7898694929529176
D3,3,186446.0,271750.0,0.0415,0.6860938362465502
D4,3,195797.0,292176.0,0.0408,0.6701337549969881
D5,3,201063.0,300500.0,0.0401,0.6690948419301165
D6,3,201538.0,305558.0,0.0398,0.6595736325018491
D7,3,196964.0,296286.0,0.0394,0.6647766009868843
D8,3,210614.0,315149.0,0.0397,0.6682997566230576
E1,3,198889.0,298234.0,0.0413,0.6668890870926856
E2,3,199649.0,302174.0,0.042,0.6607087307313005
E3,3,188195.0,281418.0,0.0391,0.6687383180891059
E4,3,151144.0,221131.0,0.0397,0.6835043481013516
