sample_id,replicate,334_373,334_384,600,ratio
B5,1,148318.0,184350.0,0.0402,0.8045457011120152
B6,1,196681.0,265551.0,0.0429,0.7406524547073821
B7,1,212269.0,302671.0,0.0415,0.701319254239752
B8,1,182454.0,237142.0,0.0407,0.7693871182666925
C1,1,169853.0,248282.0,0.0394,0.6841132260896884
C2,1,185227.0,274978.0,0.0395,0.6736066158019914
C3,1,179644.0,264358.0,0.0404,0.6795481884414317
C4,1,185419.0,273567.0,0.0407,0.6777827735070385
C5,1,184161.0,267273.0,0.0414,0.6890370520030081
C6,1,187674.0,273061.0,0.039,0.6872969775984121
C7,1,168593.0,243968.0,0.0411,0.691045546956978
C8,1,151647.0,215642.0,0.0408,0.7032349913282199
B5,2,135536.0,169936.0,0.0399,0.7975708502024291
B6,2,179147.0,242903.0,0.0412,0.7375248556007954
B7,2,195650.0,279336.0,0.0414,0.7004109745969013
B8,2,164004.0,222355.0,0.0405,0.7375772975647051
C1,2,159403.0,233157.0,0.0397,0.6836723752664514
C2,2,173208.0,259123.0,0.0395,0.6684393126044388
C3,2,169975.0,254615.0,0.0403,0.6675765371246785
C4,2,177649.0,267378.0,0.041,0.6644114325037961
C5,2,175671.0,263264.0,0.0413,0.6672807524006321
C6,2,181142.0,266298.0,0.0391,0.6802229081705458
C7,2,164853.0,241644.0,0.0412,0.6822143318269851
C8,2,146801.0,211918.0,0.0405,0.6927254881605149
B5,3,129616.0,164186.0,0.0399,0.7894461159904012
B6,3,171842.0,232367.0,0.0411,0.7395284184070888
B7,3,189566.0,270079.0,0.0415,0.7018909282098942
B8,3,158558.0,211837.0,0.0404,0.7484905847420422
C1,3,157903.0,223986.0,0.0396,0.7049681676533355
C2,3,173275.0,251177.0,0.0394,0.689852175955601
C3,3,168925.0,248619.0,0.0403,0.6794533000293622
C4,3,177047.0,265351.0,0.0411,0.6672181374858207
C5,3,175755.0,261372.0,0.0411,0.6724323952068316
C6,3,180378.0,264818.0,0.0391,0.6811394995808442
C7,3,167039.0,242855.0,0.0409,0.6878137160033765
C8,3,147415.0,210303.0,0.0406,0.7009647984099133
