sample_id,replicate,334_373,334_384,600,ratio
B5,1,131374.0,162215.0,0.0401,0.8098757821409858
B6,1,126890.0,155746.0,0.0404,0.8147239736494035
B7,1,148462.0,184801.0,0.0401,0.8033614536717875
B8,1,129118.0,158976.0,0.0417,0.8121854871175523
C1,1,114052.0,145067.0,0.0392,0.7862022375867702
C2,1,116545.0,149510.0,0.0389,0.7795130760484249
C3,1,150057.0,206633.0,0.043,0.7262005584780746
C4,1,168601.0,238909.0,0.0402,0.7057122167854706
C5,1,163151.0,226702.0,0.039,0.7196716394209138
C6,1,168013.0,235134.0,0.0392,0.7145414954876793
C7,1,145084.0,203761.0,0.0406,0.7120302707583885
C8,1,116099.0,160810.0,0.0438,0.7219638082208818
B5,2,116955.0,147209.0,0.0402,0.794482674293012
B6,2,115237.0,142471.0,0.0402,0.8088453088698753
B7,2,136641.0,170737.0,0.0397,0.800301047810375
B8,2,119504.0,148412.0,0.0414,0.8052179069077973
C1,2,108085.0,137462.0,0.0394,0.7862900292444457
C2,2,111984.0,139758.0,0.0389,0.801270768041901
C3,2,140013.0,197733.0,0.0424,0.7080912139096661
C4,2,159931.0,231204.0,0.0403,0.6917311119184789
C5,2,154990.0,222744.0,0.0391,0.695821211794706
C6,2,161238.0,226967.0,0.0389,0.7104028338921518
C7,2,142080.0,198333.0,0.0406,0.7163709518839527
C8,2,114333.0,158620.0,0.0433,0.72079813390493
B5,3,113677.0,144272.0,0.0401,0.7879352888987469
B6,3,112424.0,139732.0,0.0405,0.8045687458849798
B7,3,134976.0,168950.0,0.0401,0.7989109203906481
B8,3,116970.0,146229.0,0.0416,0.7999097306279876
C1,3,105992.0,134391.0,0.0396,0.7886837660259988
C2,3,109295.0,136964.0,0.0391,0.7979834116994247
C3,3,138780.0,195745.0,0.0425,0.7089836266571304
C4,3,158777.0,228070.0,0.0403,0.696176612443548
C5,3,156389.0,221886.0,0.0391,0.7048168879514706
C6,3,162279.0,229466.0,0.0391,0.7072028100023533
C7,3,143247.0,198531.0,0.0405,0.7215346721670671
C8,3,115964.0,160490.0,0.0434,0.7225621534051966
