concentration,surfactant volume,water volume,probe volume,total volume
1.135,38.01964040311498,936.980359596885,25,1000.0
1.521,50.949667888227204,924.0503321117728,25,1000.0
2.038,68.26786532295006,906.73213467705,25,1000.0
2.731,91.48161933119559,883.5183806688044,25,1000.0
3.659,122.56728126431514,852.4327187356848,25,1000.0
4.903,164.2381470453504,810.7618529546496,25,1000.0
6.57,220.07844709115895,754.921552908841,25,1000.0
8.803,294.8783211177279,680.1216788822721,25,1000.0
11.796,395.1362803481447,579.8637196518553,25,1000.0
15.806,529.4611772789738,445.53882272102624,25,1000.0
21.179,709.4431401740723,265.55685982592775,25,1000.0
28.379,950.625,24.375,25,1000.0
