concentration,surfactant volume,water volume,probe volume,total volume
0.927,28.515981458110865,946.4840185418891,25,1000.0
1.275,39.22101009610717,935.7789899038928,25,1000.0
1.754,53.95580526162509,921.0441947383749,25,1000.0
2.412,74.19692262887098,900.803077371129,25,1000.0
3.318,102.06691097951656,872.9330890204834,25,1000.0
4.563,140.36507377924474,834.6349262207552,25,1000.0
6.277,193.09041597903115,781.9095840209689,25,1000.0
8.633,265.564690321328,709.435309678672,25,1000.0
11.875,365.29372148335113,609.7062785166488,25,1000.0
16.334,502.45959130181535,472.54040869818465,25,1000.0
22.467,691.1203402582273,283.8796597417727,25,1000.0
30.903,950.625,24.375,25,1000.0
