sample_id,replicate,334_373,334_384,600,ratio
B5,1,153605.0,191850.0,0.0403,0.8006515506906438
B6,1,155171.0,192890.0,0.0408,0.8044533153610867
B7,1,166214.0,200202.0,0.0402,0.8302314662191187
B8,1,157017.0,188162.0,0.0416,0.8344777372689491
C1,1,148466.0,189014.0,0.0393,0.7854762081115685
C2,1,151685.0,193003.0,0.0391,0.7859204261073662
C3,1,160433.0,210947.0,0.0391,0.7605370069259103
C4,1,177936.0,239005.0,0.0382,0.7444865170184725
C5,1,176444.0,243743.0,0.0404,0.7238936092523682
C6,1,184566.0,263442.0,0.0399,0.7005944382444713
C7,1,172884.0,249089.0,0.0389,0.6940651734922056
C8,1,123020.0,167445.0,0.0406,0.7346890023589836
B5,2,140509.0,174986.0,0.04,0.8029728092533117
B6,2,145441.0,180392.0,0.0406,0.806249722825846
B7,2,151988.0,186047.0,0.0407,0.8169333555499417
B8,2,148817.0,180714.0,0.0414,0.8234945826001306
C1,2,140081.0,173449.0,0.0392,0.8076206838897889
C2,2,144005.0,178927.0,0.0391,0.8048254316005969
C3,2,152617.0,205443.0,0.039,0.7428678514235092
C4,2,170396.0,240152.0,0.0382,0.709533961824178
C5,2,171910.0,242513.0,0.0404,0.7088692152585635
C6,2,176384.0,256028.0,0.0399,0.6889246488665303
C7,2,169445.0,247987.0,0.0389,0.6832817849322746
C8,2,120839.0,165392.0,0.0404,0.7306217954919222
B5,3,134206.0,167916.0,0.0404,0.7992448605255008
B6,3,138126.0,171958.0,0.0412,0.8032542830225985
B7,3,144655.0,179546.0,0.0401,0.8056709701135085
B8,3,141274.0,173126.0,0.0414,0.8160183912295091
C1,3,134488.0,167209.0,0.0393,0.8043107727454862
C2,3,139112.0,173870.0,0.0391,0.800092022775637
C3,3,147072.0,195014.0,0.0392,0.7541612397058672
C4,3,166789.0,233849.0,0.0383,0.713233753404975
C5,3,168505.0,237783.0,0.0408,0.7086503240349394
C6,3,172589.0,253585.0,0.0397,0.6805962497781809
C7,3,166113.0,241314.0,0.0392,0.6883686814689575
C8,3,119125.0,163489.0,0.0406,0.7286422939769648
