sample_id,replicate,334_373,334_384,600,ratio
B5,1,139189.0,173300.0,0.0401,0.8031679169070975
B6,1,139959.0,172018.0,0.0418,0.8136299689567371
B7,1,152474.0,182750.0,0.0425,0.8343310533515732
B8,1,178008.0,211655.0,0.0413,0.8410290330963124
C1,1,131175.0,165642.0,0.0391,0.7919187162676132
C2,1,132798.0,166373.0,0.0395,0.7981944185655124
C3,1,129566.0,160321.0,0.0392,0.8081661167283138
C4,1,134802.0,171200.0,0.0385,0.7873948598130841
C5,1,156816.0,218428.0,0.0407,0.7179299357225264
C6,1,161248.0,227271.0,0.0399,0.7094965921741005
C7,1,146129.0,206778.0,0.039,0.7066951029606632
C8,1,138713.0,198244.0,0.0408,0.6997084401041141
B5,2,128485.0,163034.0,0.0404,0.7880871474661727
B6,2,130640.0,160818.0,0.0407,0.8123468765934162
B7,2,143090.0,173364.0,0.0423,0.8253732032025103
B8,2,165097.0,198973.0,0.0413,0.829745744397481
C1,2,124808.0,157199.0,0.0392,0.7939490709228431
C2,2,125078.0,157095.0,0.0395,0.7961933861676056
C3,2,123939.0,152124.0,0.0392,0.8147235150272146
C4,2,130567.0,164482.0,0.0384,0.7938072251066987
C5,2,151440.0,212086.0,0.0437,0.7140499608649321
C6,2,156302.0,223763.0,0.04,0.6985158404204449
C7,2,142964.0,203381.0,0.0389,0.7029368525083464
C8,2,137132.0,196455.0,0.0409,0.6980326283372783
B5,3,124794.0,155957.0,0.0399,0.8001821014766891
B6,3,126483.0,156704.0,0.0407,0.8071459567081887
B7,3,136947.0,167678.0,0.042,0.8167261059888596
B8,3,159810.0,192107.0,0.0413,0.8318801501246701
C1,3,119227.0,149741.0,0.0391,0.7962214757481251
C2,3,120289.0,150552.0,0.0395,0.7989863967267123
C3,3,119026.0,147709.0,0.0393,0.805814134548335
C4,3,127084.0,160457.0,0.0385,0.7920128134017214
C5,3,147721.0,207009.0,0.0409,0.7135969933674381
C6,3,154280.0,220943.0,0.04,0.6982796467867278
C7,3,140333.0,201196.0,0.0391,0.6974939859639356
C8,3,135230.0,193793.0,0.0409,0.6978064223165955
