sample_id,replicate,334_373,334_384,600,ratio
D1,1,158671.0,181788.0,0.041,0.872835390674852
D2,1,157492.0,191017.0,0.0407,0.8244920609160441
D3,1,150780.0,183444.0,0.0412,0.8219402106364885
D4,1,147972.0,180161.0,0.0406,0.8213320307946781
D5,1,170868.0,221229.0,0.0399,0.7723580543238002
D6,1,193272.0,270852.0,0.0395,0.7135705108324841
D7,1,173540.0,242589.0,0.0392,0.7153663191653372
D8,1,175706.0,242780.0,0.0391,0.7237251832935168
E1,1,169627.0,240332.0,0.0414,0.7058028061182031
E2,1,173569.0,247700.0,0.0416,0.7007226483649576
E3,1,165671.0,237645.0,0.0394,0.6971364850933115
E4,1,145790.0,205112.0,0.0395,0.710782401809743
D1,2,145169.0,174043.0,0.0411,0.8340984699183535
D2,2,149066.0,179787.0,0.0406,0.82912557637649
D3,2,143775.0,174831.0,0.0411,0.8223655987782487
D4,2,140122.0,173283.0,0.041,0.8086309678387378
D5,2,162186.0,214118.0,0.04,0.7574608393502648
D6,2,189543.0,263883.0,0.0395,0.7182842396061891
D7,2,169465.0,236823.0,0.0395,0.7155766120689291
D8,2,168731.0,235233.0,0.0391,0.7172930668741205
E1,2,164349.0,235512.0,0.0413,0.6978370528890248
E2,2,167911.0,242115.0,0.0418,0.6935175433161928
E3,2,162512.0,234634.0,0.0395,0.6926191430057025
E4,2,141288.0,201952.0,0.0396,0.6996117889399461
D1,3,139978.0,167699.0,0.0413,0.8346978813230849
D2,3,142216.0,173101.0,0.0407,0.8215781537946054
D3,3,137936.0,168542.0,0.0409,0.8184072812711372
D4,3,134661.0,167739.0,0.0407,0.802800779782877
D5,3,158459.0,209837.0,0.0398,0.755152809085147
D6,3,185817.0,261067.0,0.0394,0.7117598164455867
D7,3,165125.0,232008.0,0.0392,0.7117211475466363
D8,3,164539.0,234181.0,0.039,0.7026146442281824
E1,3,161426.0,232355.0,0.0414,0.6947386542144564
E2,3,165347.0,239811.0,0.0416,0.6894888057678755
E3,3,159958.0,230930.0,0.0396,0.6926687740873858
E4,3,139921.0,200502.0,0.0396,0.6978533879961297
