sample_id,replicate,334_373,334_384,600,ratio
D1,1,156033.0,189416.0,0.0408,0.8237582886345398
D2,1,155725.0,187169.0,0.0402,0.8320020943639171
D3,1,152910.0,184341.0,0.041,0.829495337445278
D4,1,156733.0,189128.0,0.0407,0.8287138868914175
D5,1,149586.0,182453.0,0.0401,0.8198604572136385
D6,1,167502.0,218134.0,0.0395,0.7678857949700643
D7,1,173147.0,238938.0,0.0393,0.7246524202931305
D8,1,180422.0,248653.0,0.0389,0.7255975194347143
E1,1,168400.0,236498.0,0.0414,0.7120567615793791
E2,1,171736.0,243838.0,0.0415,0.7043036770314717
E3,1,162599.0,231411.0,0.0392,0.7026416203205552
E4,1,141857.0,197467.0,0.0397,0.7183833248087023
D1,2,146637.0,180839.0,0.0407,0.8108704427695353
D2,2,148048.0,178106.0,0.04,0.831235331768722
D3,2,145288.0,177846.0,0.041,0.8169315025359019
D4,2,148764.0,182223.0,0.0408,0.816384320310828
D5,2,142316.0,176891.0,0.04,0.8045406493264213
D6,2,159257.0,209452.0,0.0395,0.7603508202356626
D7,2,170298.0,235605.0,0.0394,0.7228114853250144
D8,2,173707.0,243551.0,0.0391,0.7132263879023285
E1,2,164268.0,232592.0,0.0417,0.7062495700625989
E2,2,167248.0,237643.0,0.0417,0.7037783566105461
E3,2,158768.0,227109.0,0.0394,0.6990828192629971
E4,2,138770.0,197155.0,0.0396,0.7038624432553068
D1,3,140689.0,172533.0,0.0409,0.8154324100317041
D2,3,141125.0,171544.0,0.0399,0.8226752320104463
D3,3,139201.0,170760.0,0.041,0.8151850550480206
D4,3,142926.0,176947.0,0.0405,0.8077333890939095
D5,3,137872.0,171999.0,0.0401,0.8015860557328822
D6,3,155351.0,206622.0,0.0393,0.7518608860624716
D7,3,167229.0,233281.0,0.0392,0.716856494956726
D8,3,170819.0,240783.0,0.039,0.7094313136724769
E1,3,161404.0,230072.0,0.0415,0.7015369101846378
E2,3,163512.0,235476.0,0.0416,0.6943892371197065
E3,3,155396.0,224633.0,0.0392,0.6917772544550445
E4,3,137441.0,195309.0,0.0397,0.7037105304927064
