concentration,surfactant volume,water volume,probe volume,total volume
0.906,34.12982960174361,940.8701703982564,25,1000.0
1.226,46.18451555379433,928.8154844462057,25,1000.0
1.659,62.49601248266297,912.503987517337,25,1000.0
2.244,84.5334852387557,890.4665147612443,25,1000.0
3.037,114.40650386368138,860.5934961363187,25,1000.0
4.11,154.82737269665148,820.1726273033485,25,1000.0
5.561,209.4878393104815,765.5121606895185,25,1000.0
7.526,283.51114523479293,691.4888547652071,25,1000.0
10.184,383.64038042401427,591.3596195759858,25,1000.0
13.781,519.1425847037845,455.85741529621555,25,1000.0
18.648,702.4868238557558,272.5131761442442,25,1000.0
25.235,950.625,24.375,25,1000.0
