Sample,334_373,334_384,replicate,assay,time,concentration,surfactant,ratio
D1,109894.0,132898.0,1,c,20,0.089,CAPB,0.826904844316694
D2,130943.0,157137.0,1,c,20,0.127,CAPB,0.8333046959023018
D3,130320.0,157032.0,1,c,20,0.181,CAPB,0.8298945437872536
D4,123992.0,155677.0,1,c,20,0.258,CAPB,0.7964696133661363
D5,118330.0,148677.0,1,c,20,0.368,CAPB,0.7958863845786504
D6,116810.0,148337.0,1,c,20,0.525,CAPB,0.787463680673062
D7,112448.0,142506.0,1,c,20,0.749,CAPB,0.7890755476962373
D8,111109.0,145616.0,1,c,20,1.07,CAPB,0.7630274145698275
E1,124119.0,168553.0,1,c,20,1.526,CAPB,0.7363796550639858
E2,135489.0,188865.0,1,c,20,2.178,CAPB,0.7173854340401874
E3,140723.0,197774.0,1,c,20,3.108,CAPB,0.7115343776229434
E4,125665.0,175559.0,1,c,20,4.436,CAPB,0.7157992469767999
D1,101443.0,125467.0,2,c,20,0.089,CAPB,0.8085233567392223
D2,120149.0,147424.0,2,c,20,0.127,CAPB,0.8149894182765357
D3,120632.0,147866.0,2,c,20,0.181,CAPB,0.8158197286732582
D4,118817.0,146947.0,2,c,20,0.258,CAPB,0.8085704369602645
D5,113645.0,141547.0,2,c,20,0.368,CAPB,0.8028781959349192
D6,111670.0,141472.0,2,c,20,0.525,CAPB,0.7893434743270753
D7,104836.0,136230.0,2,c,20,0.749,CAPB,0.7695514937972546
D8,105354.0,140980.0,2,c,20,1.07,CAPB,0.7472974890055327
E1,118526.0,163403.0,2,c,20,1.526,CAPB,0.7253599995104129
E2,131787.0,183623.0,2,c,20,2.178,CAPB,0.7177042091676968
E3,137735.0,196834.0,2,c,20,3.108,CAPB,0.6997520753528353
E4,124216.0,175670.0,2,c,20,4.436,CAPB,0.7070985370296579
D1,99497.0,123927.0,3,c,20,0.089,CAPB,0.8028678173440816
D2,118019.0,144046.0,3,c,20,0.127,CAPB,0.819314663371423
D3,117050.0,145601.0,3,c,20,0.181,CAPB,0.8039093138096579
D4,115592.0,143973.0,3,c,20,0.258,CAPB,0.8028727608648843
D5,110756.0,138385.0,3,c,20,0.368,CAPB,0.8003468584022835
D6,109050.0,138837.0,3,c,20,0.525,CAPB,0.7854534454072041
D7,103808.0,134810.0,3,c,20,0.749,CAPB,0.770031896743565
D8,103839.0,138923.0,3,c,20,1.07,CAPB,0.7474572245056614
