surfactant_1,assay,surfactant_1_ratio,surfactant_2,surfactant_2_ratio,CMC,R2
NaDC,c,1.0,N/A,0.0,259.77727040957365,0.9834265627544977
NaDC,b,1.0,N/A,0.0,225.50886905397945,0.9559728121953445
NaC,b,1.0,N/A,0.0,2072863.9856798379,0.9872671345642697
NaC,c,1.0,N/A,0.0,5017572.179630752,0.9633138700068461
SDS,c,1.0,N/A,0.0,4703.100982625106,0.9417099039902567
SDS,b,1.0,N/A,0.0,6268.816703441625,0.9794525773203259
NaC,a,1.0,N/A,0.0,7205484.039796147,0.987047713796412
NaDC,a,1.0,N/A,0.0,263.17546678865756,0.9685695030956547
SDS,a,1.0,N/A,0.0,5100.711351510734,0.9811295236725668
DTAB,c,1.0,N/A,0.0,2120899.218197658,0.9518266600357875
DTAB,b,1.0,N/A,0.0,2871786.1998866433,0.950072612945311
CTAB,b,1.0,N/A,0.0,2.834380085840573,0.9570047791258169
CTAB,c,1.0,N/A,0.0,2.968943789705194,0.9342418137611768
TTAB,a,1.0,N/A,0.0,43.82154808768339,0.9634092969704572
TTAB,b,1.0,N/A,0.0,40.89560510819474,0.9749552747872873
TTAB,c,1.0,N/A,0.0,46.86478746346714,0.9733042190184413
CTAB,a,1.0,N/A,0.0,3.1935544668625964,0.9571909132296569
DTAB,a,1.0,N/A,0.0,1496560.2062999036,0.9618689452998748
CHAPS,a,1.0,N/A,0.0,600.031387983339,0.9941933195618959
CHAPS,b,1.0,N/A,0.0,1285.3130051867738,0.9919624287279358
CHAPS,c,1.0,N/A,0.0,1647.8649602295025,0.9913703934607164
CAPB,b,1.0,N/A,0.0,2.0165101308347904,0.9194748340794201
CAPB,a,1.0,N/A,0.0,2.7752623461456705,0.9621995301700114
CAPB,c,1.0,N/A,0.0,2.435285969416977,0.9511130981825453
SDS,N/A,0.05,NaC,0.95,74280.58654738951,0.9624480933475971
SDS,N/A,0.8,NaC,0.2,1054.1568543319684,0.9610625702745678
SDS,N/A,0.2,NaC,0.8,2622.9525117344124,0.9688041065675135
SDS,N/A,0.5,NaC,0.5,591.5639473860844,0.9456741177162652
CAPB,N/A,0.2,CHAPS,0.8,14.73565015254455,0.9187756748055735
CAPB,N/A,0.5,CHAPS,0.5,2.689497643586738,0.9061852657333321
CAPB,N/A,0.05,CHAPS,0.95,157.61327367252485,0.9620993189923459
DTAB,N/A,0.5,CAPB,0.5,4.027448046900897,0.8335447065809473
NaDC,N/A,0.5,NaC,0.5,114.42209637823878,0.9629083642469911
NaDC,N/A,0.2,NaC,0.8,4406.316609142418,0.9646710401717491
NaDC,N/A,0.05,NaC,0.95,459789.4939380715,0.9724567862924989
NaDC,N/A,0.8,CAPB,0.2,28.027019982427497,0.9701465278642581
SDS,N/A,0.8,NaDC,0.2,300.18226219341227,0.9366343551108176
SDS,N/A,0.2,NaDC,0.8,41.60257822488784,0.9476984884843934
SDS,N/A,0.95,NaDC,0.05,2982.749709602243,0.9261204711551391
NaDC,N/A,0.8,CHAPS,0.2,6.301547226965073,0.9543027908662255
DTAB,N/A,0.5,TTAB,0.5,246.6957099942728,0.9110159895601069
TTAB,N/A,0.8,CHAPS,0.2,9.00623678140712,0.9077087936887396
