replicate,334_373,334_384,600,ratio,surfactant_1,surfactant_1_ratio,surfactant_2,surfactant_2_ratio,analysis,well_idx,concentration
1,157125.0,184034.0,0.0411,0.8537824532423357,SDS,0.5,NaC,0.5,rough_rough,0,1.496
1,155280.0,185929.0,0.0395,0.8351575063599546,SDS,0.5,NaC,0.5,rough_rough,1,2.044
1,162266.0,200560.0,0.0396,0.8090646190666135,SDS,0.5,NaC,0.5,rough_rough,2,2.793
1,158642.0,192976.0,0.0398,0.8220815023629882,SDS,0.5,NaC,0.5,rough_rough,3,3.816
1,175794.0,221639.0,0.0412,0.7931546343378196,SDS,0.5,NaC,0.5,rough_rough,4,5.214
1,174226.0,232058.0,0.0386,0.7507864413207043,SDS,0.5,NaC,0.5,rough_rough,5,7.124
1,206340.0,294680.0,0.0496,0.7002171847427718,SDS,0.5,NaC,0.5,rough_rough,6,9.734
1,211685.0,306968.0,0.0392,0.6895995673816163,SDS,0.5,NaC,0.5,rough_rough,7,13.299
1,205998.0,303471.0,0.0415,0.6788062121257056,SDS,0.5,NaC,0.5,rough_rough,8,18.17
1,206693.0,306584.0,0.0402,0.6741806486966052,SDS,0.5,NaC,0.5,rough_rough,9,24.826
1,203720.0,298721.0,0.0391,0.6819741497919464,SDS,0.5,NaC,0.5,rough_rough,10,33.92
1,157000.0,225688.0,0.0392,0.6956506327319131,SDS,0.5,NaC,0.5,rough_rough,11,46.345
2,142927.0,174727.0,0.0412,0.8180017970891734,SDS,0.5,NaC,0.5,rough_rough,12,1.496
2,144347.0,176442.0,0.0392,0.8180988653495199,SDS,0.5,NaC,0.5,rough_rough,13,2.044
2,152454.0,187294.0,0.0395,0.8139822952150095,SDS,0.5,NaC,0.5,rough_rough,14,2.793
2,147894.0,183582.0,0.0398,0.8056018563911495,SDS,0.5,NaC,0.5,rough_rough,15,3.816
2,164617.0,210662.0,0.0412,0.7814271202210176,SDS,0.5,NaC,0.5,rough_rough,16,5.214
2,164813.0,220417.0,0.0385,0.7477327066424097,SDS,0.5,NaC,0.5,rough_rough,17,7.124
2,198110.0,282038.0,0.0493,0.7024230777412973,SDS,0.5,NaC,0.5,rough_rough,18,9.734
2,204332.0,297210.0,0.0392,0.6875004205780425,SDS,0.5,NaC,0.5,rough_rough,19,13.299
2,198942.0,291540.0,0.0417,0.6823832064210743,SDS,0.5,NaC,0.5,rough_rough,20,18.17
