334_373,334_384,ratio,surfactant,assay,time,replicate,concentration
133296.0,167994.0,0.7934569091753277,NaDC,b,5,3,2.135
121709.0,150630.0,0.807999734448649,NaDC,b,5,3,2.756273148050945
143249.0,175407.0,0.8166663816153289,NaDC,b,5,3,3.5583333333333336
153011.0,181410.0,0.8434540543520203,NaDC,b,5,3,4.003125000000001
117571.0,146014.0,0.805203610612681,NaDC,b,5,3,4.536875
114543.0,141449.0,0.8097830313399176,NaDC,b,5,3,5.070625000000001
158034.0,225406.0,0.7011082224962956,NaDC,b,5,3,5.604375
164812.0,237405.0,0.6942229523388302,NaDC,b,5,3,6.1381250000000005
163273.0,238537.0,0.6844766220754013,NaDC,b,5,3,6.671875
156087.0,229841.0,0.679108601163413,NaDC,b,5,3,8.006250000000003
146646.0,214955.0,0.6822172082528901,NaDC,b,5,3,10.336024305191044
126948.0,184221.0,0.6891071050531699,NaDC,b,5,3,13.343749999999996
122658.0,152226.0,0.8057624847266565,NaDC,c,5,3,2.135
120175.0,148220.0,0.8107880178113614,NaDC,c,5,3,2.756273148050945
122694.0,151209.0,0.8114199551613991,NaDC,c,5,3,3.5583333333333336
123239.0,152480.0,0.8082305876180482,NaDC,c,5,3,4.003125000000001
123748.0,153121.0,0.8081713154955884,NaDC,c,5,3,4.536875
122835.0,151578.0,0.8103748565095199,NaDC,c,5,3,5.070625000000001
167703.0,237999.0,0.7046374144429178,NaDC,c,5,3,5.604375
171366.0,246331.0,0.6956737073287569,NaDC,c,5,3,6.1381250000000005
157569.0,229619.0,0.6862193459600469,NaDC,c,5,3,6.671875
154362.0,225054.0,0.6858887200405236,NaDC,c,5,3,8.006250000000003
145238.0,212257.0,0.6842554073599457,NaDC,c,5,3,10.336024305191044
129853.0,186909.0,0.6947391511377194,NaDC,c,5,3,13.343749999999996
144914.0,178596.0,0.8114067504311406,SDS,a,0,1,3.4
154389.0,187197.0,0.8247407811022612,SDS,a,0,1,4.389381125701739
149299.0,183718.0,0.8126530878846928,SDS,a,0,1,5.666666666666667
147555.0,183227.0,0.805312535816228,SDS,a,0,1,6.375
148893.0,177755.0,0.8376304464009451,SDS,a,0,1,7.225
142916.0,175520.0,0.8142433910665451,SDS,a,0,1,8.075
156260.0,204706.0,0.7633386417594012,SDS,a,0,1,8.925
164784.0,222065.0,0.7420530024992682,SDS,a,0,1,9.775
157302.0,217428.0,0.7234670787571058,SDS,a,0,1,10.625
156963.0,219768.0,0.7142213607076553,SDS,a,0,1,12.75
148615.0,202784.0,0.732873402240808,SDS,a,0,1,16.460179221381527
130564.0,181740.0,0.7184109166941784,SDS,a,0,1,21.25
128488.0,159157.0,0.8073034802113637,SDS,b,30,3,3.4
129680.0,161118.0,0.8048759294430169,SDS,b,30,3,4.389381125701739
129314.0,160170.0,0.8073546856465006,SDS,b,30,3,5.666666666666667
117048.0,143710.0,0.8144735926518684,SDS,b,30,3,6.375
109327.0,136141.0,0.8030424339471577,SDS,b,30,3,7.225
107658.0,133661.0,0.8054555928804962,SDS,b,30,3,8.075
131191.0,175383.0,0.7480257493599721,SDS,b,30,3,8.925
153113.0,214982.0,0.7122131155166479,SDS,b,30,3,9.775
154885.0,220518.0,0.7023689676126212,SDS,b,30,3,10.625
142443.0,200112.0,0.7118163828256177,SDS,b,30,3,12.75
139771.0,196086.0,0.7128045857429903,SDS,b,30,3,16.460179221381527
119785.0,165459.0,0.7239557836080237,SDS,b,30,3,21.25
114242.0,140772.0,0.8115392265507345,SDS,c,30,3,3.4
123385.0,152344.0,0.8099104657879536,SDS,c,30,3,4.389381125701739
118908.0,147626.0,0.8054678715131481,SDS,c,30,3,5.666666666666667
115985.0,144934.0,0.8002608083679468,SDS,c,30,3,6.375
117127.0,145876.0,0.802921659491623,SDS,c,30,3,7.225
119127.0,154219.0,0.7724534590420117,SDS,c,30,3,8.075
123943.0,168887.0,0.7338812341980141,SDS,c,30,3,8.925
118632.0,163396.0,0.7260398051359886,SDS,c,30,3,9.775
145794.0,205514.0,0.7094115242757184,SDS,c,30,3,10.625
149910.0,210976.0,0.7105547550432276,SDS,c,30,3,12.75
131751.0,182317.0,0.7226479154439794,SDS,c,30,3,16.460179221381527
119125.0,164045.0,0.7261726965161999,SDS,c,30,3,21.25
117154.0,142727.0,0.8208257722785458,SDS,c,30,2,3.4
126932.0,154707.0,0.820467076473592,SDS,c,30,2,4.389381125701739
122603.0,152418.0,0.8043866210027687,SDS,c,30,2,5.666666666666667
120387.0,148587.0,0.8102121989137677,SDS,c,30,2,6.375
121124.0,149908.0,0.8079888998585799,SDS,c,30,2,7.225
124119.0,158246.0,0.7843421002742565,SDS,c,30,2,8.075
