concentration,surfactant volume,water volume,probe volume,total volume
5.599999999999999,152.09999999999997,822.9000000000001,25,1000.0
7.22956891292051,196.360255652716,778.639744347284,25,1000.0
9.333333333333334,253.5,721.5,25,1000.0
10.5,285.1875,689.8125,25,1000.0
11.9,323.2125,651.7875,25,1000.0
13.3,361.2375,613.7625,25,1000.0
14.7,399.2625,575.7375,25,1000.0
16.1,437.2875,537.7125,25,1000.0
17.5,475.3125,499.6875,25,1000.0
21.0,570.375,404.625,25,1000.0
27.110883423451927,736.3509586976854,238.64904130231457,25,1000.0
35.0,950.625,24.375,25,1000.0
