concentration,surfactant volume,water volume,probe volume,total volume
3.4,152.1,822.9,25,1000.0
4.389381125701739,196.36025565271603,778.639744347284,25,1000.0
5.666666666666667,253.5,721.5,25,1000.0
6.375,285.1875,689.8125,25,1000.0
7.225,323.2125,651.7875,25,1000.0
8.075,361.23749999999995,613.7625,25,1000.0
8.925,399.2625,575.7375,25,1000.0
9.775,437.28749999999997,537.7125000000001,25,1000.0
10.625,475.3125,499.6875,25,1000.0
12.75,570.375,404.625,25,1000.0
16.460179221381527,736.3509586976853,238.64904130231469,25,1000.0
21.25,950.625,24.375,25,1000.0
