concentration,surfactant volume,water volume,probe volume,total volume
0.2508,152.10000000000002,822.9,25,1000.0
0.3237814077429401,196.3602556527161,778.6397443472839,25,1000.0
0.418,253.50000000000003,721.5,25,1000.0
0.47025,285.1875,689.8125,25,1000.0
0.53295,323.21250000000003,651.7874999999999,25,1000.0
0.59565,361.2375,613.7625,25,1000.0
0.65835,399.26250000000005,575.7375,25,1000.0
0.72105,437.2875,537.7125,25,1000.0
0.78375,475.31250000000006,499.68749999999994,25,1000.0
0.9405,570.375,404.625,25,1000.0
1.2141802790360252,736.3509586976852,238.6490413023148,25,1000.0
1.5675,950.6250000000001,24.374999999999886,25,1000.0
