,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
D1,121446.0,149783.0,113609.0,141929.0,110968.0,138456.0
D2,147918.0,177543.0,138650.0,172001.0,135798.0,167582.0
D3,147900.0,177758.0,136990.0,170214.0,134947.0,164992.0
D4,139715.0,171397.0,131422.0,164349.0,129977.0,160988.0
D5,131166.0,161567.0,125567.0,154024.0,122957.0,151429.0
D6,136059.0,171244.0,128419.0,162760.0,125580.0,159260.0
D7,134396.0,173605.0,128989.0,164921.0,125233.0,161701.0
D8,146613.0,194017.0,136877.0,183887.0,133659.0,178963.0
E1,133004.0,184235.0,127298.0,176482.0,124160.0,172875.0
E2,141011.0,195573.0,139777.0,194803.0,139325.0,191553.0
E3,146515.0,201473.0,140147.0,194947.0,141145.0,194804.0
E4,120194.0,167393.0,118813.0,164565.0,117969.0,163213.0
