,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
A1,132007.0,161291.0,123004.0,154809.0,120875.0,153070.0
A2,133175.0,165797.0,126667.0,158498.0,124931.0,155584.0
A3,137134.0,170487.0,132215.0,163702.0,129374.0,160375.0
A4,127463.0,160944.0,123935.0,156004.0,121688.0,152768.0
A5,123465.0,153047.0,116143.0,145152.0,114017.0,143851.0
A6,115350.0,142534.0,108284.0,138230.0,108171.0,138269.0
A7,118937.0,149905.0,111760.0,143162.0,109357.0,142821.0
A8,120868.0,158194.0,113970.0,153248.0,112434.0,150663.0
B1,130474.0,179676.0,125876.0,175070.0,125568.0,173401.0
B2,137639.0,194794.0,135607.0,190673.0,135212.0,188630.0
B3,148678.0,209644.0,144933.0,206809.0,144055.0,203399.0
B4,125818.0,176396.0,124492.0,174442.0,123770.0,174008.0
