,rep1_CMC_Fluorescence,rep1_CMC_Fluorescence,rep2_CMC_Fluorescence,rep2_CMC_Fluorescence,rep3_CMC_Fluorescence,rep3_CMC_Fluorescence
,334_373,334_384,334_373,334_384,334_373,334_384
B5,163080.0,204721.0,151903.0,195898.0,150950.0,192588.0
B6,154441.0,187268.0,143001.0,177161.0,139474.0,174011.0
B7,145190.0,173808.0,131686.0,161272.0,129415.0,158829.0
B8,129505.0,153427.0,120048.0,147511.0,116620.0,145055.0
C1,115483.0,142890.0,110011.0,139353.0,109970.0,138322.0
C2,116310.0,146800.0,111645.0,142406.0,111421.0,141583.0
C3,121729.0,160937.0,118373.0,155804.0,116899.0,154041.0
C4,126107.0,172784.0,122631.0,167018.0,121961.0,165726.0
C5,132151.0,183797.0,127162.0,178595.0,127332.0,176079.0
C6,148124.0,203626.0,143016.0,198805.0,142317.0,197808.0
C7,156415.0,213541.0,149611.0,207859.0,148995.0,207864.0
C8,127566.0,176225.0,124594.0,174826.0,124492.0,175196.0
