sample_id,replicate,334_373,334_384,600,ratio
B5,1,171797.0,214091.0,0.0403,0.802448491529303
B6,1,157552.0,191330.0,0.0405,0.8234568546490357
B7,1,167814.0,205246.0,0.0413,0.8176237295732925
B8,1,170005.0,208609.0,0.0412,0.8149456638975308
C1,1,173849.0,240084.0,0.0392,0.7241173922460472
C2,1,186642.0,261001.0,0.0392,0.7151007084264045
C3,1,195079.0,283047.0,0.0392,0.6892106257971291
C4,1,204069.0,300497.0,0.0411,0.6791049494670496
C5,1,212422.0,309407.0,0.041,0.6865455532680256
C6,1,221042.0,322981.0,0.0397,0.68438081497054
C7,1,214888.0,315097.0,0.0396,0.6819741222544169
C8,1,193994.0,288568.0,0.0413,0.672264422943639
B5,2,163198.0,206967.0,0.0402,0.7885218416462528
B6,2,147369.0,182523.0,0.0404,0.8073996153909371
B7,2,155485.0,195670.0,0.0412,0.7946287116062759
B8,2,157003.0,200700.0,0.0412,0.7822770303936223
C1,2,166078.0,224223.0,0.0393,0.7406822672072
C2,2,177854.0,249954.0,0.039,0.7115469246341327
C3,2,186641.0,272970.0,0.039,0.6837418031285489
C4,2,197208.0,287846.0,0.0438,0.6851163469355142
C5,2,203307.0,297675.0,0.041,0.6829831191735953
C6,2,212269.0,312086.0,0.0397,0.6801618784565793
C7,2,202612.0,301360.0,0.0397,0.6723254579240775
C8,2,190849.0,283666.0,0.0413,0.672794765675125
B5,3,155253.0,197922.0,0.0403,0.7844150726043593
B6,3,140471.0,176434.0,0.0405,0.7961674053753811
B7,3,146752.0,187793.0,0.0412,0.7814561778128045
B8,3,150603.0,194918.0,0.0411,0.7726479853066418
C1,3,159176.0,217067.0,0.0392,0.7333035422242902
C2,3,170374.0,242876.0,0.0394,0.7014855317116553
C3,3,183131.0,268556.0,0.0393,0.6819099182293451
C4,3,192245.0,283907.0,0.0445,0.6771407538384049
C5,3,199489.0,293275.0,0.0408,0.6802114056772653
C6,3,207382.0,304765.0,0.0398,0.6804652765245353
C7,3,199560.0,298376.0,0.0398,0.6688205485695901
C8,3,188415.0,281946.0,0.0412,0.6682662637526335
