sample_id,replicate,334_373,334_384,600,ratio
A1,1,143684.0,180537.0,0.04,0.7958700986501382
A2,1,151671.0,191168.0,0.0394,0.7933911533311014
A3,1,152084.0,186400.0,0.0397,0.8159012875536481
A4,1,153908.0,190179.0,0.041,0.8092796786185646
A5,1,161033.0,195275.0,0.0392,0.8246472922801178
A6,1,169828.0,208145.0,0.0402,0.8159119844339283
A7,1,193710.0,249347.0,0.0406,0.7768691823041786
A8,1,222219.0,317072.0,0.0407,0.7008471262047736
B1,1,217951.0,320810.0,0.0402,0.6793772014588074
B2,1,223458.0,336092.0,0.0398,0.6648715232733894
B3,1,245328.0,374787.0,0.039,0.6545798013271539
B4,1,228088.0,345579.0,0.042,0.6600169570488947
A1,2,140259.0,174165.0,0.0401,0.8053225389716648
A2,2,147155.0,181864.0,0.0395,0.8091485945541723
A3,2,146151.0,181735.0,0.0396,0.8041984207775057
A4,2,147437.0,182310.0,0.0409,0.8087159234271296
A5,2,151411.0,186397.0,0.0393,0.8123038460919435
A6,2,159595.0,197317.0,0.0399,0.8088253926422964
A7,2,180659.0,237357.0,0.0406,0.7611277527100528
A8,2,208730.0,294390.0,0.0404,0.7090254424403003
B1,2,209223.0,309238.0,0.0403,0.6765759706116324
B2,2,214065.0,325257.0,0.0397,0.6581411007295769
B3,2,237580.0,364561.0,0.0391,0.6516879205400468
B4,2,221996.0,337617.0,0.0431,0.6575379794263915
A1,3,133582.0,169514.0,0.0412,0.7880293073138502
A2,3,139186.0,173967.0,0.0395,0.8000712778860358
A3,3,139393.0,174490.0,0.0398,0.7988595334976216
A4,3,141056.0,176295.0,0.041,0.8001134462123146
A5,3,143366.0,180207.0,0.0392,0.7955628804652427
A6,3,151751.0,190959.0,0.0399,0.7946784388271828
A7,3,173746.0,229516.0,0.0405,0.7570104045033897
A8,3,204611.0,287713.0,0.0403,0.7111635553485591
B1,3,204785.0,302864.0,0.0401,0.6761615774737175
B2,3,209058.0,317819.0,0.0396,0.6577894965373373
B3,3,233046.0,358502.0,0.0399,0.6500549508789352
B4,3,219683.0,336596.0,0.0431,0.6526607565152289
