concentration,surfactant volume,water volume,probe volume,total volume
1.303,26.72703366058906,948.2729663394109,25,1000.0
1.803,36.982994389901826,938.0170056100982,25,1000.0
2.495,51.17724403927069,923.8227559607293,25,1000.0
3.451,70.78664095371668,904.2133590462834,25,1000.0
4.775,97.94442496493689,877.0555750350632,25,1000.0
6.607,135.52226507713885,839.4777349228611,25,1000.0
9.141,187.49947405329596,787.5005259467041,25,1000.0
12.647,259.41427068723704,715.585729312763,25,1000.0
17.498,358.91760168302943,616.0823983169705,25,1000.0
24.21,496.593618513324,478.406381486676,25,1000.0
33.497,687.0878330995793,287.91216690042074,25,1000.0
46.345,950.625,24.375,25,1000.0
