sample_id,replicate,334_373,334_384,600,ratio
E5,1,131740.0,161775.0,0.0405,0.814340905578736
E6,1,136699.0,167408.0,0.0396,0.8165619325241327
E7,1,125020.0,153118.0,0.0394,0.8164944683185517
E8,1,134282.0,164491.0,0.0406,0.8163486148178319
F1,1,119777.0,148997.0,0.0417,0.8038886688993738
F2,1,119760.0,147291.0,0.04,0.813084302503208
F3,1,120607.0,147893.0,0.042,0.8155017478852955
F4,1,126587.0,154850.0,0.0391,0.8174814336454633
F5,1,121462.0,150044.0,0.0401,0.8095092106315481
F6,1,121879.0,149938.0,0.0392,0.81286264989529
F7,1,116399.0,142375.0,0.0405,0.8175522388059702
F8,1,115896.0,141824.0,0.0399,0.8171818592057761
E5,2,122634.0,153052.0,0.0407,0.8012570890939027
E6,2,128059.0,159490.0,0.0395,0.8029280832654085
E7,2,117430.0,144216.0,0.0394,0.8142647140400511
E8,2,124307.0,153685.0,0.0405,0.8088427627940268
F1,2,113739.0,139976.0,0.0418,0.8125607246956621
F2,2,113683.0,139746.0,0.04,0.8134973451834042
F3,2,114534.0,141387.0,0.0419,0.8100744764370134
F4,2,120417.0,147274.0,0.0393,0.8176392302782568
F5,2,114348.0,143316.0,0.0401,0.7978732311814452
F6,2,115546.0,143816.0,0.0392,0.8034293819880959
F7,2,111090.0,136317.0,0.0406,0.8149387090384912
F8,2,110591.0,136416.0,0.0396,0.8106893619516772
E5,3,118171.0,146716.0,0.0407,0.8054404427601625
E6,3,124478.0,154341.0,0.0397,0.8065128514134287
E7,3,113735.0,139610.0,0.0393,0.814662273476112
E8,3,120154.0,148681.0,0.0407,0.8081328481783147
F1,3,110717.0,135343.0,0.0415,0.8180474793672373
F2,3,109781.0,135310.0,0.0399,0.8113295395757889
F3,3,110444.0,136894.0,0.0417,0.8067848116060602
F4,3,115570.0,142722.0,0.039,0.8097560292036267
F5,3,110595.0,137941.0,0.0401,0.801755823141778
F6,3,112369.0,139366.0,0.0391,0.8062870427507427
F7,3,107435.0,131465.0,0.0407,0.8172137070703229
F8,3,107506.0,133100.0,0.0397,0.8077084898572502
