concentration,surfactant volume,water volume,probe volume,total volume
0.337,18.994463713980792,956.0055362860192,25,1000.0
0.481,27.110792422625398,947.8892075773746,25,1000.0
0.687,38.721651547492,936.278348452508,25,1000.0
0.98,55.236125933831374,919.7638740661687,25,1000.0
1.399,78.8523879402348,896.1476120597652,25,1000.0
1.997,112.55769743863394,862.4423025613661,25,1000.0
2.849,160.57930896478123,814.4206910352187,25,1000.0
4.066,229.1735592315902,745.8264407684098,25,1000.0
5.803,327.0767742796158,647.9232257203842,25,1000.0
8.281,466.7452641408752,508.2547358591248,25,1000.0
11.818,666.1025880469583,308.8974119530417,25,1000.0
16.866,950.6249999999999,24.375000000000114,25,1000.0
