sample_id,replicate,334_373,334_384,600,ratio
A1,1,149350.0,185983.0,0.0401,0.8030303844975079
A2,1,180898.0,230743.0,0.0398,0.7839804457773367
A3,1,229443.0,287623.0,0.04,0.7977213227036781
A4,1,189334.0,237730.0,0.0409,0.7964245152063265
A5,1,151003.0,186980.0,0.0389,0.8075890469568938
A6,1,164671.0,211743.0,0.0396,0.7776927690643847
A7,1,225263.0,311460.0,0.0402,0.7232485712451037
A8,1,230023.0,331225.0,0.0402,0.6944614687900974
B1,1,245717.0,360714.0,0.0502,0.6811961831256896
B2,1,254652.0,379701.0,0.0394,0.6706645492110898
B3,1,221982.0,326801.0,0.0397,0.679257407413074
B4,1,193665.0,284499.0,0.0425,0.6807229550894731
A1,2,143101.0,180453.0,0.0398,0.7930098141898444
A2,2,174170.0,220268.0,0.0398,0.790718579185356
A3,2,224543.0,282885.0,0.0401,0.7937607154850911
A4,2,181739.0,227965.0,0.0409,0.7972232579562653
A5,2,141733.0,177603.0,0.0388,0.7980326908892305
A6,2,155067.0,202132.0,0.0394,0.7671571052579502
A7,2,213363.0,295039.0,0.0402,0.7231688014126946
A8,2,219964.0,315643.0,0.04,0.6968759009387188
B1,2,240094.0,351752.0,0.0543,0.6825661261343219
B2,2,247933.0,371853.0,0.0397,0.6667500329431254
B3,2,214243.0,318238.0,0.0397,0.673216272098241
B4,2,188787.0,276076.0,0.0421,0.6838225705965024
A1,3,138090.0,171987.0,0.0401,0.8029095222313314
A2,3,167262.0,212929.0,0.0399,0.7855294487833973
A3,3,216534.0,273985.0,0.0402,0.7903133383214409
A4,3,171641.0,221291.0,0.0407,0.7756347976194242
A5,3,135920.0,171084.0,0.0389,0.7944635383788081
A6,3,148715.0,197075.0,0.0394,0.7546111886337689
A7,3,210037.0,290629.0,0.0403,0.7226980101779245
A8,3,216976.0,312728.0,0.0399,0.6938169911232764
B1,3,234856.0,346323.0,0.054,0.6781415037407276
B2,3,244077.0,365760.0,0.0395,0.6673146325459317
B3,3,210704.0,312034.0,0.0396,0.6752597473352263
B4,3,184575.0,271156.0,0.0419,0.6806967207068993
