concentration,surfactant volume,water volume,probe volume,total volume
1.094,33.653164741287256,941.3468352587128,25,1000.0
1.482,45.588656441122225,929.4113435588778,25,1000.0
2.008,61.76924570430055,913.2307542956994,25,1000.0
2.721,83.70224978157461,891.2977502184253,25,1000.0
3.687,113.41793272497816,861.5820672750218,25,1000.0
4.995,153.65407484710224,821.3459251528977,25,1000.0
6.768,208.19435006310067,766.8056499368993,25,1000.0
9.17,282.083656926512,692.916343073488,25,1000.0
12.424,382.18182700708667,592.8181729929133,25,1000.0
16.834,517.8403795747986,457.1596204252014,25,1000.0
22.808,701.6100378604019,273.3899621395981,25,1000.0
30.903,950.625,24.375,25,1000.0
