sample_id,replicate,334_373,334_384,600,ratio
A1,1,150566.0,185079.0,0.0398,0.8135228740159608
A2,1,150426.0,185456.0,0.0407,0.8111142265550858
A3,1,136297.0,170490.0,0.0386,0.7994427825678926
A4,1,180379.0,253764.0,0.0394,0.7108139846471525
A5,1,188283.0,269401.0,0.0392,0.6988949558464891
A6,1,192915.0,277946.0,0.0411,0.694073668986062
A7,1,194542.0,281083.0,0.0416,0.6921158519013957
A8,1,187762.0,272568.0,0.04,0.6888629626368465
B1,1,178859.0,258970.0,0.0576,0.6906552882573271
B2,1,172379.0,251867.0,0.0404,0.6844048644721222
B3,1,151469.0,218562.0,0.0401,0.6930253200464856
B4,1,132689.0,190975.0,0.0404,0.694797748396387
A1,2,138742.0,174659.0,0.0396,0.7943592943965098
A2,2,140731.0,175693.0,0.0407,0.8010051624139835
A3,2,126742.0,158394.0,0.0386,0.8001691983282195
A4,2,172182.0,243398.0,0.0393,0.7074092638394728
A5,2,181278.0,260694.0,0.039,0.6953669819788718
A6,2,187494.0,271249.0,0.0413,0.6912246681093756
A7,2,188792.0,273504.0,0.0413,0.6902714402714403
A8,2,183539.0,267633.0,0.0399,0.6857861325023447
B1,2,172826.0,255270.0,0.061,0.6770321620245231
B2,2,165914.0,245261.0,0.0402,0.6764793424148152
B3,2,146737.0,214350.0,0.0403,0.6845672964777233
B4,2,126916.0,184107.0,0.0404,0.6893599917439315
A1,3,132105.0,166272.0,0.0396,0.7945114030023095
A2,3,134033.0,167943.0,0.0405,0.7980862554557201
A3,3,120818.0,153110.0,0.0386,0.7890928090915028
A4,3,165574.0,239567.0,0.0391,0.6911385958834063
A5,3,175395.0,254617.0,0.0391,0.6888581673651013
A6,3,181871.0,267387.0,0.041,0.6801789167012607
A7,3,184058.0,267789.0,0.0413,0.6873247220759628
A8,3,179660.0,262278.0,0.0399,0.6849983605182287
B1,3,168643.0,250752.0,0.0573,0.672548972690148
B2,3,163300.0,242041.0,0.04,0.6746790832958053
B3,3,146135.0,215447.0,0.0401,0.6782874674513918
B4,3,125401.0,183202.0,0.0405,0.6844958024475716
