sample_id,replicate,334_373,334_384,600,ratio
E5,1,137881.0,172272.0,0.041,0.800368022661837
E6,1,175769.0,216443.0,0.039,0.8120798547423571
E7,1,157697.0,192395.0,0.0399,0.8196522778658489
E8,1,160373.0,191435.0,0.0404,0.8377412698827278
F1,1,162083.0,200288.0,0.0415,0.8092496804601375
F2,1,161356.0,196625.0,0.0411,0.8206280991735537
F3,1,173363.0,237748.0,0.04,0.729188047848983
F4,1,190365.0,269796.0,0.0389,0.7055886669928391
F5,1,186551.0,265440.0,0.0396,0.7027991259795058
F6,1,184970.0,260618.0,0.0401,0.7097360888349998
F7,1,167800.0,231221.0,0.0388,0.7257126299081831
F8,1,136527.0,187577.0,0.0398,0.7278450982796398
E5,2,126574.0,159320.0,0.041,0.7944639718804921
E6,2,162004.0,203745.0,0.0393,0.7951311688630396
E7,2,146014.0,180491.0,0.0398,0.8089821653157221
E8,2,147290.0,178732.0,0.0404,0.8240829845802654
F1,2,152049.0,188489.0,0.0416,0.8066730684549231
F2,2,150317.0,186248.0,0.041,0.8070798075684035
F3,2,163427.0,227019.0,0.0404,0.7198824767970963
F4,2,182347.0,263303.0,0.0391,0.6925367352441864
F5,2,178314.0,261755.0,0.0398,0.6812248094592271
F6,2,176855.0,255220.0,0.0402,0.6929511793746571
F7,2,159440.0,225347.0,0.0389,0.7075310521107447
F8,2,133432.0,184007.0,0.0399,0.7251463259549908
E5,3,120976.0,152657.0,0.0409,0.7924693921667529
E6,3,154541.0,194395.0,0.039,0.7949844389001774
E7,3,139433.0,173728.0,0.0401,0.8025937097071284
E8,3,139858.0,171470.0,0.0404,0.8156412200384907
F1,3,145722.0,182479.0,0.0416,0.7985686024145244
F2,3,143054.0,179546.0,0.041,0.7967540351776147
F3,3,157584.0,223519.0,0.0405,0.7050138914365222
F4,3,175893.0,261142.0,0.0389,0.6735530860604575
F5,3,175167.0,258532.0,0.0398,0.6775447526805193
F6,3,174979.0,255563.0,0.0402,0.6846804897422554
F7,3,156481.0,222036.0,0.039,0.7047550847610298
F8,3,131042.0,180684.0,0.0399,0.7252551415731332
