concentration,surfactant volume,water volume,probe volume,total volume
0.815,30.14158788515406,944.8584121148459,25,1000.0
1.115,41.23665091036414,933.7633490896359,25,1000.0
1.526,56.436887254901954,918.563112745098,25,1000.0
2.088,77.22163865546219,897.7783613445379,25,1000.0
2.858,105.69896708683473,869.3010329131653,25,1000.0
3.912,144.6796218487395,830.3203781512605,25,1000.0
5.353,197.97290791316527,777.0270920868347,25,1000.0
7.327,270.9784226190476,704.0215773809524,25,1000.0
10.027,370.83398984593833,604.1660101540617,25,1000.0
13.723,507.5251663165266,467.4748336834734,25,1000.0
18.781,694.5879289215685,280.4120710784315,25,1000.0
25.704,950.625,24.375,25,1000.0
