sample_id,replicate,334_373,334_384,600,ratio
A1,1,138080.0,185690.0,0.0403,0.7436049329527707
A2,1,147229.0,192866.0,0.0395,0.7633745709456307
A3,1,169724.0,204721.0,0.0396,0.8290502684140855
A4,1,146862.0,176892.0,0.0407,0.8302353978698868
A5,1,176600.0,250948.0,0.039,0.7037314503403096
A6,1,191579.0,276643.0,0.0395,0.69251345597033
A7,1,197794.0,278812.0,0.0401,0.7094170982597593
A8,1,178976.0,251563.0,0.0399,0.7114559772303558
B1,1,169793.0,244040.0,0.0398,0.6957588919849205
B2,1,170968.0,251226.0,0.0388,0.6805346580369867
B3,1,149408.0,212843.0,0.0382,0.7019634190459635
B4,1,120807.0,170465.0,0.0414,0.7086909336227378
A1,2,130712.0,164414.0,0.0402,0.7950174559344095
A2,2,138992.0,176046.0,0.0396,0.7895209206684617
A3,2,148423.0,191138.0,0.0395,0.7765227218030951
A4,2,135095.0,167993.0,0.0408,0.804170411862399
A5,2,169224.0,240618.0,0.039,0.7032890307458295
A6,2,180927.0,264972.0,0.0394,0.6828155427743309
A7,2,189348.0,268031.0,0.0399,0.7064406729072383
A8,2,167752.0,238351.0,0.0397,0.7038023754882505
B1,2,162355.0,234539.0,0.0398,0.6922302900583698
B2,2,163026.0,243735.0,0.0388,0.6688657763554681
B3,2,141784.0,207083.0,0.0397,0.6846723294524417
B4,2,116370.0,165996.0,0.0414,0.7010409889394925
A1,3,126177.0,156279.0,0.0402,0.8073829497245312
A2,3,133567.0,168302.0,0.0398,0.7936150491378593
A3,3,140517.0,181683.0,0.0397,0.7734185366820231
A4,3,127284.0,160819.0,0.041,0.7914736442833248
A5,3,161531.0,239877.0,0.0388,0.6733909461932573
A6,3,178475.0,262251.0,0.0395,0.6805503124868924
A7,3,186083.0,264309.0,0.0402,0.7040358065748802
A8,3,162339.0,234034.0,0.0396,0.6936556226873019
B1,3,159595.0,231804.0,0.0399,0.6884911390657624
B2,3,158857.0,234690.0,0.0389,0.6768801397588308
B3,3,139571.0,205056.0,0.0392,0.6806482131710362
B4,3,114551.0,164430.0,0.0414,0.6966551115976404
