sample_id,replicate,334_373,334_384,600,ratio
B5,1,144581.0,186606.0,0.0417,0.7747928791142835
B6,1,166687.0,203328.0,0.0404,0.8197936339313818
B7,1,144731.0,174348.0,0.0396,0.8301271021176039
B8,1,147612.0,176248.0,0.0409,0.837524397439971
C1,1,143440.0,174465.0,0.0393,0.8221706359441722
C2,1,140779.0,182383.0,0.0394,0.7718866341709479
C3,1,151089.0,203462.0,0.0409,0.7425907540474388
C4,1,182926.0,250837.0,0.0401,0.7292624293864143
C5,1,179717.0,247181.0,0.0389,0.7270664007346843
C6,1,206639.0,287545.0,0.0388,0.7186318663165765
C7,1,224187.0,324853.0,0.0399,0.6901182996616931
C8,1,210510.0,311802.0,0.0403,0.6751399926876672
B5,2,135162.0,171476.0,0.0415,0.788226923884392
B6,2,147932.0,184065.0,0.0404,0.803694347105642
B7,2,135273.0,163205.0,0.0395,0.8288532826812904
B8,2,136991.0,165657.0,0.0406,0.8269556976161587
C1,2,130084.0,161552.0,0.0393,0.8052144201247895
C2,2,130371.0,166099.0,0.0393,0.7848993672448359
C3,2,139718.0,189074.0,0.0407,0.7389593492495002
C4,2,166781.0,233920.0,0.04,0.7129830711354309
C5,2,165834.0,232873.0,0.039,0.7121220579457472
C6,2,193192.0,272747.0,0.039,0.7083194315611171
C7,2,213839.0,307194.0,0.0403,0.6961040905746857
C8,2,209437.0,306344.0,0.0402,0.6836660747395086
B5,3,128179.0,163525.0,0.0418,0.7838495642868063
B6,3,140150.0,178536.0,0.0401,0.7849957431554421
B7,3,126810.0,156280.0,0.0394,0.8114282057844894
B8,3,130164.0,158989.0,0.0407,0.8186981489285422
C1,3,126638.0,156996.0,0.0392,0.806632016102321
C2,3,126683.0,161326.0,0.0392,0.7852609002888561
C3,3,135796.0,183166.0,0.0409,0.7413821342388871
C4,3,161747.0,226603.0,0.04,0.7137901969523792
C5,3,159643.0,224597.0,0.0388,0.710797561855234
C6,3,186508.0,264937.0,0.039,0.7039711327598637
C7,3,207376.0,299211.0,0.0402,0.6930761235382389
C8,3,205827.0,302419.0,0.0401,0.6806020785731055
